routeId,day,stop_A,stop_1,stop_B,stop_C,stop_D,stop_E
13,Monday to Friday,5:22 AM,5:29,5:32,5:36,5:41,5:50
13,Monday to Friday,5:52 AM,5:59,6:02,6:06,6:11,6:20
13,Monday to Friday,6:22 AM,6:29,6:32,6:36,6:41,6:50
13,Monday to Friday,6:40 AM,6:47,6:50,6:54,6:59,7:08
13,Monday to Friday,6:52 AM,6:59,7:02,7:06,7:11,7:20
13,Monday to Friday,7:22 AM,7:29,7:32,7:36,7:41,7:50
13,Monday to Friday,7:52 AM,7:59,8:02,8:06,8:11,8:20
13,Monday to Friday,8:22 AM,8:29,8:32,8:36,8:41,8:50
13,Monday to Friday,8:32 AM,8:39,8:42,8:46,8:51,9:00
13,Monday to Friday,8:52 AM,8:59,9:02,9:06,9:11,9:20
13,Monday to Friday,9:22 AM,9:29,9:32,9:36,9:41,9:50
13,Monday to Friday,9:52 AM,9:59,10:02,10:06,10:11,10:20
13,Monday to Friday,10:22 AM,10:29,10:32,10:36,10:41,10:50
13,Monday to Friday,10:52 AM,10:59,11:02,11:06,11:11,11:20
13,Monday to Friday,11:22 AM,11:29,11:32,11:36,11:41,11:50
13,Monday to Friday,11:32 AM,11:39,11:42,11:46,11:51,12:00
13,Monday to Friday,12:12 PM,12:19,12:22,12:26,12:31,12:40
13,Monday to Friday,12:42 PM,12:49,12:52,12:56,1:01,1:10
13,Monday to Friday,1:12 PM,1:19,1:22,1:26,1:31,1:40
13,Monday to Friday,1:42 PM,1:49,1:52,1:56,2:01,2:10
13,Monday to Friday,2:12 PM,2:19,2:22,2:26,2:31,2:40
13,Monday to Friday,2:42 PM,2:49,2:52,2:56,3:01,3:10
13,Monday to Friday,3:12 PM,3:19,3:22,3:26,3:31,3:40
13,Monday to Friday,3:50 PM,3:57,4:00,4:04,4:09,4:18
13,Monday to Friday,4:20 PM,4:27,4:30,4:34,4:39,4:48
13,Monday to Friday,4:50 PM,4:57,5:00,5:04,5:09,5:18
13,Monday to Friday,5:20 PM,5:27,5:30,5:34,5:39,5:48
13,Monday to Friday,5:50 PM,5:57,6:00,6:04,6:09,6:18
13,Monday to Friday,6:20 PM,6:27,6:30,6:34,6:39,6:48
13,Monday to Friday,6:35 PM,6:42,6:45,6:49,6:54,7:03
13,Monday to Friday,7:05 PM,7:12,7:15,7:19,7:24,7:33
13,Monday to Friday,7:35 PM,7:42,7:45,7:49,7:54,8:03
13,Monday to Friday,8:05 PM,8:12,8:15,8:19,8:24,8:33
13,Monday to Friday,8:35 PM,8:42,8:45,8:49,8:54,9:03
13,Monday to Friday,9:05 PM,9:12,9:15,9:19,9:24,9:33
13,Monday to Friday,9:20 PM,9:27,9:30,9:34,9:39,9:48
13,Monday to Friday,9:50 PM,9:57,10:00,10:04,10:09,10:18
13,Saturday,7:30 AM,7:37,7:40,7:44,7:49,7:58
13,Saturday,12:00 PM,12:07,12:10,12:14,12:19,12:28
13,Saturday,3:45 PM,3:52,3:55,3:59,4:04,4:13
13,Saturday,4:30 PM,4:37,4:40,4:44,4:49,4:58
13,Saturday,7:00 PM,7:07,7:10,7:14,7:19,7:28 
